payload_kg,distance_km,wind_speed_kmph,altitude_m,flight_time_min
1.3,28.8,31.9,70.7,34.24
4.1,28.1,15.3,91.9,38.12
3.8,16.8,47.5,18.1,62.83
4.1,26.1,40.3,38.6,56.03
2.6,23.5,36.3,29.5,46.95
3.1,12.8,27.5,90.6,34.04
3.3,15.3,27.3,70.6,31.07
3.6,26.9,58.0,75.1,57.87
2.4,17.3,55.5,105.9,52.66
4.9,17.3,48.4,61.6,58.02
4.1,19.3,45.9,97.9,52.88
1.2,21.1,35.2,79.4,26.8
1.0,24.9,35.9,49.4,41.59
1.5,22.0,52.5,18.5,49.56
4.7,9.3,37.7,43.5,48.61
4.3,25.3,18.9,47.1,38.6
3.7,9.7,32.3,50.9,42.24
2.9,26.2,17.2,53.6,33.79
1.3,9.8,46.8,50.5,45.79
3.8,17.5,25.6,61.6,38.41
