payload_kg,distance_km,wind_speed_kmph,altitude_m,flight_time_min
5.0,14.0,18.4,116.8,38.64
0.3,6.1,2.6,115.1,3.42
4.2,0.7,17.6,82.1,28.37
4.0,3.9,24.1,20.2,37.76
3.8,5.8,6.7,50.9,30.6
0.7,1.7,28.3,79.9,19.34
2.6,11.4,9.6,73.5,26.81
2.5,4.7,24.4,37.3,34.79
2.2,4.1,5.6,36.3,16.21
2.7,7.6,25.2,83.9,27.32
1.4,14.4,11.1,106.3,22.98
2.9,7.9,9.3,23.6,20.59
0.8,10.7,8.1,60.7,14.68
3.8,5.7,25.7,27.4,38.74
4.7,9.2,28.6,66.0,38.37
2.4,14.1,21.2,80.3,27.45
2.4,14.5,26.2,30.3,36.54
3.0,13.5,17.8,55.2,32.1
4.7,7.7,12.7,117.3,26.67
2.4,6.2,10.7,30.6,20.29
1.5,1.4,6.4,16.2,12.82
0.7,5.7,17.8,20.4,24.79
2.5,9.9,5.0,106.9,13.69
1.1,6.5,26.6,28.5,26.95
2.1,1.0,11.5,103.0,15.31
